Value,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,QA60,NUVEM_SOMBRA,DIFERENCA_DIAS,Parameter,Dominio,Classe
"2,19",224,296,406,161,138,94,97,87,86,132,51,33,0,CIRRUS,0,CHL,Campo_Limnologia,2
"2,24",222,155,170,84,75,51,44,44,32,29,30,33,0,SHADOW,0,CHL,Estados_Unidos,2
3,87,188,209,90,73,44,49,34,44,12,29,33,0,SHADOW,0,CHL,Estados_Unidos,2
"9,79",134,218,331,201,189,57,74,64,46,1,27,33,0,SHADOW,0,CHL,Estados_Unidos,4
"10,3",345,396,459,197,196,152,161,118,113,101,41,33,0,CIRRUS,0,CHL,Estados_Unidos,4
15,48,234,401,133,134,34,60,34,41,1,40,33,0,CIRRUS,0,CHL,Europa,5
"15,3",443,654,899,712,723,269,250,228,135,21,45,33,0,CIRRUS,0,CHL,Estados_Unidos,5
17,186,192,207,201,230,200,204,203,183,181,48,33,0,SHADOW,0,CHL,Europa,5
"47,1",242,205,375,249,328,131,92,103,65,146,48,33,0,CIRRUS,0,CHL,Estados_Unidos,6
"1,07",90,131,230,116,107,71,69,72,70,1,50,34,0,SHADOW,0,CHL,PMQs,1
"1,07",90,131,230,116,107,71,69,72,70,1,50,34,0,SHADOW,0,CHL,PMQs,1
"1,24",183,262,298,127,115,95,91,76,74,77,44,34,0,SHADOW,0,CHL,Campo_Geo,1
"1,3",106,56,101,54,82,28,27,39,37,41,58,34,0,SHADOW,0,CHL,Estados_Unidos,1
"1,3",106,56,101,54,82,28,27,39,37,41,58,34,0,SHADOW,0,CHL,Estados_Unidos,1
"1,3",106,56,101,54,82,28,27,39,37,41,58,34,0,SHADOW,0,CHL,Estados_Unidos,1
"2,14",90,131,230,116,107,71,69,72,70,1,50,34,0,SHADOW,0,CHL,PMQs,2
"3,06",189,317,456,183,131,49,69,45,50,9,32,34,0,CIRRUS,0,CHL,Campo_Geo,3
"8,2",1,29,84,36,30,1,3,2,2,45,42,34,0,SHADOW,0,CHL,Europa,4
"9,8",96,46,52,32,37,45,45,45,43,31,39,34,0,SHADOW,0,CHL,Europa,4
"12,2",95,170,163,113,86,77,110,86,83,9,38,34,0,SHADOW,0,CHL,Europa,5
"13,4",231,354,579,357,444,160,163,140,84,36,43,34,0,CIRRUS,0,CHL,Estados_Unidos,5
"13,6",2,82,165,193,222,69,92,84,55,72,32,34,0,SHADOW,0,CHL,Europa,5
"15,7",231,354,579,357,444,160,163,140,84,36,43,34,0,CIRRUS,0,CHL,Estados_Unidos,5
"23,3",411,556,878,734,771,286,275,235,142,3,38,34,0,CIRRUS,0,CHL,Estados_Unidos,5
"0,66",323,484,771,428,285,116,127,103,86,56,33,35,0,CIRRUS,0,CHL,Campo_Geo,1
"0,67",197,267,367,312,259,144,183,137,125,253,64,35,0,SHADOW,0,CHL,ANA,1
"0,72",188,281,373,137,104,61,77,68,61,68,43,35,0,CIRRUS,0,CHL,Campo_Geo,1
"0,72",188,281,373,137,104,61,77,68,61,68,43,35,0,CIRRUS,0,CHL,Campo_Limnologia,1
"0,83",140,225,278,110,83,64,81,76,70,75,42,35,0,SHADOW,0,CHL,Campo_Geo,1
"0,83",140,225,278,110,83,64,81,76,70,75,42,35,0,SHADOW,0,CHL,Campo_Limnologia,1
"0,94",188,281,373,137,104,61,77,68,61,68,43,35,0,CIRRUS,0,CHL,Campo_Limnologia,1
1,1,1,1,22,38,4,6,24,19,1,49,35,0,SHADOW,0,CHL,Europa,1
1,84,72,93,59,66,92,114,107,116,77,70,35,0,SHADOW,0,CHL,Europa,1
"1,07",341,386,651,330,258,130,136,109,105,119,56,35,0,CIRRUS,0,CHL,PMQs,1
"1,07",341,386,651,330,258,130,136,109,105,119,56,35,0,CIRRUS,0,CHL,PMQs,1
"1,07",133,200,225,98,85,69,81,71,71,82,43,35,0,SHADOW,0,CHL,PMQs,1
"1,22",184,208,306,124,108,73,86,73,77,35,55,35,0,SHADOW,0,CHL,Campo_Geo,1
"1,22",184,208,306,124,108,73,86,73,77,35,55,35,0,SHADOW,0,CHL,Campo_Limnologia,1
"2,07",146,240,280,74,59,72,91,80,61,46,24,35,0,SHADOW,0,CHL,Estados_Unidos,2
"2,1",123,96,109,75,84,98,115,102,115,171,64,35,0,SHADOW,0,CHL,Europa,2
"2,4",53,5,41,37,54,71,107,95,97,615,67,35,0,SHADOW,0,CHL,Europa,2
"3,5",399,430,492,167,146,151,157,128,123,93,62,35,0,CIRRUS,0,CHL,Europa,3
"6,9",14,30,47,49,57,46,47,47,40,1,37,35,0,SHADOW,0,CHL,Europa,4
"8,45",8,108,127,64,61,29,46,40,32,5,46,35,0,SHADOW,0,CHL,Estados_Unidos,4
"10,4",251,428,639,346,297,57,66,59,15,,31,35,0,NADA,0,CHL,Estados_Unidos,4
"15,27",95,136,118,43,48,36,67,54,39,109,54,35,0,SHADOW,0,CHL,Estados_Unidos,5
17,128,220,313,152,136,84,119,92,85,44,47,35,0,SHADOW,0,CHL,Estados_Unidos,5
"17,42",95,136,118,43,48,36,67,54,39,109,54,35,0,SHADOW,0,CHL,Estados_Unidos,5
21,61,202,301,204,248,104,117,103,94,49,34,35,0,SHADOW,0,CHL,Estados_Unidos,5
27,142,237,355,359,374,180,187,156,120,42,45,35,0,SHADOW,0,CHL,Estados_Unidos,5
"30,59",340,328,438,244,330,283,296,272,234,197,56,35,0,SHADOW,0,CHL,Estados_Unidos,5
"32,832",116,178,346,191,227,107,119,112,80,81,43,35,0,SHADOW,0,CHL,Estados_Unidos,6
"0,1",248,484,746,430,350,90,102,159,54,19,32,36,0,,0,CHL,GemStat,1
"0,37",156,170,173,62,67,69,81,83,84,179,46,36,0,SHADOW,0,CHL,Estados_Unidos,1
"0,76",136,224,283,108,84,66,81,78,67,71,43,36,0,SHADOW,0,CHL,Campo_Limnologia,1
"0,83",136,224,283,108,84,66,81,78,67,71,43,36,0,SHADOW,0,CHL,Campo_Limnologia,1
"0,98",243,338,444,159,129,73,83,60,61,66,43,36,0,CIRRUS,0,CHL,Campo_Geo,1
"1,07",174,239,436,180,141,57,56,40,41,10,40,36,0,CIRRUS,0,CHL,PMQs,1
"1,07",227,332,587,231,140,44,41,28,16,1,37,36,0,CIRRUS,0,CHL,PMQs,1
"1,07",227,332,587,231,140,44,41,28,16,1,37,36,0,CIRRUS,0,CHL,PMQs,1
"1,07",227,332,587,231,140,44,41,28,16,1,37,36,0,CIRRUS,0,CHL,PMQs,1
"1,1",1,14,40,52,59,26,28,33,29,1,40,36,0,SHADOW,0,CHL,Europa,1
"1,1",45,35,23,17,2,1,1,1,1,1,51,36,0,SHADOW,0,CHL,Europa,1
"1,7",433,431,352,133,117,99,90,77,73,67,45,36,0,SHADOW,0,CHL,Estados_Unidos,2
"1,9",168,192,148,75,75,65,84,63,56,25,52,36,0,SHADOW,0,CHL,Estados_Unidos,2
"1,94",168,192,148,75,75,65,84,63,56,25,52,36,0,SHADOW,0,CHL,Estados_Unidos,2
"2,14",174,239,436,180,141,57,56,40,41,10,40,36,0,CIRRUS,0,CHL,PMQs,2
"2,14",174,239,436,180,141,57,56,40,41,10,40,36,0,CIRRUS,0,CHL,PMQs,2
"2,4",156,170,173,62,67,69,81,83,84,179,46,36,0,SHADOW,0,CHL,Estados_Unidos,2
"2,52",137,111,125,94,78,54,58,55,50,64,49,36,0,SHADOW,0,CHL,Estados_Unidos,2
"2,65",137,111,125,94,78,54,58,55,50,64,49,36,0,SHADOW,0,CHL,Estados_Unidos,2
"2,7",90,139,94,68,70,77,95,79,82,83,38,36,0,SHADOW,0,CHL,Europa,2
"4,9",140,136,110,67,55,16,65,35,54,163,65,36,0,SHADOW,0,CHL,Estados_Unidos,3
"5,4",102,188,200,93,79,80,88,84,74,1,48,36,0,SHADOW,0,CHL,Europa,4
"6,04",176,323,547,116,72,1,2,1,1,40,27,36,0,CIRRUS,0,CHL,Europa,4
"6,23",201,317,524,303,389,133,136,116,72,17,44,36,0,CIRRUS,0,CHL,Estados_Unidos,4
"9,61",115,177,168,86,74,32,52,32,26,17,40,36,0,SHADOW,0,CHL,Estados_Unidos,4
11,205,231,276,124,125,66,70,62,45,23,39,36,0,SHADOW,0,CHL,Estados_Unidos,5
11,23,115,160,92,87,52,82,46,66,17,53,36,0,SHADOW,0,CHL,Europa,5
"11,6",201,317,524,303,389,133,136,116,72,17,44,36,0,CIRRUS,0,CHL,Estados_Unidos,5
13,205,231,276,124,125,66,70,62,45,23,39,36,0,SHADOW,0,CHL,Estados_Unidos,5
"14,2",164,236,369,198,254,111,112,101,71,33,37,36,0,SHADOW,0,CHL,Estados_Unidos,5
"14,7",164,236,369,198,254,111,112,101,71,33,37,36,0,SHADOW,0,CHL,Estados_Unidos,5
15,205,231,276,124,125,66,70,62,45,23,39,36,0,SHADOW,0,CHL,Estados_Unidos,5
"15,1",164,236,369,198,254,111,112,101,71,33,37,36,0,SHADOW,0,CHL,Estados_Unidos,5
21,316,437,651,663,657,270,234,201,129,21,50,36,0,CIRRUS,0,CHL,Estados_Unidos,5
"35,75",190,194,295,202,254,116,132,106,86,101,56,36,0,SHADOW,0,CHL,Estados_Unidos,6
"60,6",230,246,418,285,412,211,205,159,129,71,67,36,0,SHADOW,0,CHL,Europa,6
164,155,180,437,200,634,468,459,388,282,110,40,36,0,SHADOW,0,CHL,Estados_Unidos,6
"660,7",285,377,603,371,1023,735,755,628,437,175,55,36,0,SHADOW,0,CHL,Europa,6
"0,61",251,372,530,204,143,78,77,75,71,60,34,37,0,CIRRUS,0,CHL,Campo_Geo,1
"0,61",251,372,530,204,143,78,77,75,71,60,34,37,0,CIRRUS,0,CHL,Campo_Limnologia,1
"0,94",197,268,279,108,91,70,67,68,62,69,46,37,0,SHADOW,0,CHL,Campo_Geo,1
"0,97",173,295,410,144,106,49,64,47,49,12,37,37,0,CIRRUS,0,CHL,Campo_Limnologia,1
"1,05",180,259,312,130,103,80,92,78,74,58,51,37,0,SHADOW,0,CHL,Campo_Geo,1
"1,07",139,248,297,97,72,35,43,35,26,1,41,37,0,SHADOW,0,CHL,PMQs,1
"1,07",139,248,297,97,72,35,43,35,26,1,41,37,0,SHADOW,0,CHL,PMQs,1
"1,07",139,248,297,97,72,35,43,35,26,1,41,37,0,SHADOW,0,CHL,PMQs,1
"1,17",176,297,401,147,115,76,77,67,54,47,48,37,0,CIRRUS,0,CHL,Campo_Geo,1
"1,3",183,266,300,116,97,71,74,67,63,55,40,37,0,SHADOW,0,CHL,Campo_Geo,1
"1,3",142,209,240,90,77,48,59,39,44,31,25,37,0,SHADOW,0,CHL,Estados_Unidos,1
"1,4",142,209,240,90,77,48,59,39,44,31,25,37,0,SHADOW,0,CHL,Estados_Unidos,1
"1,49",173,295,410,144,106,49,64,47,49,12,37,37,0,CIRRUS,0,CHL,Campo_Geo,1
"1,9",329,331,426,143,98,28,37,20,16,1,57,37,0,CIRRUS,0,CHL,Estados_Unidos,2
"2,14",139,248,297,97,72,35,43,35,26,1,41,37,0,SHADOW,0,CHL,PMQs,2
"2,43",376,444,621,586,529,199,174,134,100,81,42,37,0,CIRRUS,0,CHL,ANA,2
"7,4",3,80,136,81,70,29,44,36,27,7,49,37,0,SHADOW,0,CHL,Europa,4
"12,5",430,640,870,667,674,249,217,211,110,14,40,37,0,,0,CHL,Estados_Unidos,5
"19,9",112,339,700,456,487,37,48,13,1,1,43,37,0,CIRRUS,0,CHL,Estados_Unidos,5
20,91,145,82,30,52,66,66,66,82,147,67,37,0,SHADOW,0,CHL,Europa,5
23,121,190,231,172,178,88,114,102,84,266,49,37,0,SHADOW,0,CHL,Estados_Unidos,5
"26,7",453,260,781,391,475,107,90,82,62,499,51,37,0,CLEAR,0,CHL,Estados_Unidos,5
"28,9",453,260,781,391,475,107,90,82,62,499,51,37,0,CLEAR,0,CHL,Estados_Unidos,5
38,259,286,432,349,503,299,306,273,233,194,55,37,0,SHADOW,0,CHL,Europa,6
"148,12",7,136,280,241,305,227,248,223,205,141,56,37,0,SHADOW,0,CHL,Europa,6
"0,003",121,207,263,119,82,53,52,54,46,28,36,38,0,SHADOW,0,CHL,ANA,1
"1,07",146,229,405,139,96,34,34,27,17,2,44,38,0,CIRRUS,0,CHL,PMQs,1
"1,07",146,229,405,139,96,34,34,27,17,2,44,38,0,CIRRUS,0,CHL,PMQs,1
"1,07",146,229,405,139,96,34,34,27,17,2,44,38,0,CIRRUS,0,CHL,PMQs,1
"1,07",249,348,508,228,175,93,99,88,88,36,58,38,0,CIRRUS,0,CHL,PMQs,1
"1,07",470,625,1221,1084,897,290,295,220,155,38,62,38,0,CIRRUS,0,CHL,PMQs,1
"1,07",470,625,1221,1084,897,290,295,220,155,38,62,38,0,CIRRUS,0,CHL,PMQs,1
"1,07",470,625,1221,1084,897,290,295,220,155,38,62,38,0,CIRRUS,0,CHL,PMQs,1
"1,23",217,270,305,130,113,88,88,81,72,78,44,38,0,SHADOW,0,CHL,Campo_Geo,1
"1,63",302,363,444,200,174,131,138,117,103,94,57,38,0,CIRRUS,0,CHL,Campo_Geo,2
"1,71",215,304,420,157,116,47,69,46,42,14,53,38,0,CIRRUS,0,CHL,Campo_Limnologia,2
"2,14",85,168,304,126,116,66,69,60,53,43,45,38,0,SHADOW,0,CHL,PMQs,2
"2,14",85,168,304,126,116,66,69,60,53,43,45,38,0,SHADOW,0,CHL,PMQs,2
"3,5",1,1,1,1,1,1,1,1,1,1,33,38,0,SHADOW,0,CHL,Europa,3
4,63,146,399,151,82,1,1,1,1,97,15,38,0,CIRRUS,0,CHL,Estados_Unidos,3
"4,63",66,179,267,209,155,67,78,62,54,1,48,38,0,SHADOW,0,CHL,Estados_Unidos,3
7,72,51,106,81,61,28,39,36,23,1,41,38,0,SHADOW,0,CHL,Estados_Unidos,4
"7,3",23,137,178,179,173,120,114,105,91,56,47,38,0,SHADOW,0,CHL,Europa,4
"7,42",310,380,514,175,147,83,70,67,55,31,45,38,0,CIRRUS,0,CHL,Europa,4
"9,7",301,482,677,386,354,114,109,111,62,3,37,38,0,CIRRUS,0,CHL,Estados_Unidos,4
"14,5",95,217,251,118,111,72,68,46,16,2,33,38,0,SHADOW,0,CHL,Europa,5
27,96,161,213,145,152,93,102,118,101,506,54,38,0,SHADOW,0,CHL,Estados_Unidos,5
"28,4",157,253,403,176,216,143,157,142,124,80,40,38,0,SHADOW,0,CHL,Estados_Unidos,5
30,143,266,265,170,185,108,102,82,94,2,39,38,0,SHADOW,0,CHL,Europa,5
"32,51",157,253,403,176,216,143,157,142,124,80,40,38,0,SHADOW,0,CHL,Estados_Unidos,6
"33,71",157,253,403,176,216,143,157,142,124,80,40,38,0,SHADOW,0,CHL,Estados_Unidos,6
"34,7",235,236,339,207,225,108,122,105,89,75,40,38,0,SHADOW,0,CHL,Estados_Unidos,6
"62,5",194,250,335,160,196,102,110,86,61,9,29,38,0,SHADOW,0,CHL,Estados_Unidos,6
143,731,691,964,538,1403,2154,2182,2081,1866,2326,94,38,0,,0,CHL,Estados_Unidos,6
182,194,250,335,160,196,102,110,86,61,9,29,38,0,SHADOW,0,CHL,Estados_Unidos,6
"1,09",197,280,301,124,105,90,93,84,75,81,42,39,0,SHADOW,0,CHL,Campo_Geo,1
"1,16",132,106,90,77,72,72,66,75,77,53,61,39,0,SHADOW,0,CHL,Estados_Unidos,1
"1,38",213,283,310,129,116,95,100,85,78,78,50,39,0,SHADOW,0,CHL,Campo_Geo,1
"1,6",121,220,210,139,140,133,144,126,109,83,54,39,0,SHADOW,0,CHL,Europa,2
"1,61",189,255,281,123,109,89,96,80,78,77,53,39,0,SHADOW,0,CHL,Campo_Geo,2
"1,66",132,106,90,77,72,72,66,75,77,53,61,39,0,SHADOW,0,CHL,Estados_Unidos,2
"1,8",922,1222,1974,1296,938,255,244,161,93,123,48,39,0,,0,CHL,GemStat,2
"2,6",328,375,403,174,175,193,204,156,160,137,51,39,0,SHADOW,0,CHL,Estados_Unidos,2
"3,65",134,252,366,126,60,4,4,2,1,2,31,39,0,CIRRUS,0,CHL,ANA,3
"3,7",247,215,243,109,104,89,101,95,80,32,53,39,0,SHADOW,0,CHL,Europa,3
"4,5",99,190,224,116,96,86,93,86,76,34,49,39,0,SHADOW,0,CHL,Europa,3
"4,89",216,157,179,71,64,37,38,31,20,24,42,39,0,SHADOW,0,CHL,Estados_Unidos,3
5,337,443,946,1120,890,294,285,221,154,21,37,39,0,CIRRUS,0,CHL,ANA,3
"5,34",331,510,808,623,718,264,265,224,152,40,49,39,0,CIRRUS,0,CHL,Estados_Unidos,4
8,221,248,342,179,163,114,115,103,95,78,41,39,0,SHADOW,0,CHL,Estados_Unidos,4
"10,7",120,264,452,358,323,121,135,130,103,132,71,39,0,CIRRUS,0,CHL,Estados_Unidos,4
"11,81",79,98,85,51,33,1,13,4,3,18,58,39,0,SHADOW,0,CHL,Estados_Unidos,5
12,79,98,85,51,33,1,13,4,3,18,58,39,0,SHADOW,0,CHL,Estados_Unidos,5
"12,2",120,264,452,358,323,121,135,130,103,132,71,39,0,CIRRUS,0,CHL,Estados_Unidos,5
15,158,260,509,550,530,196,171,165,101,21,55,39,0,CIRRUS,0,CHL,Estados_Unidos,5
"18,6",229,282,292,176,161,101,102,100,78,36,45,39,0,SHADOW,0,CHL,Estados_Unidos,5
20,300,362,466,435,383,166,156,140,122,14,54,39,0,CIRRUS,0,CHL,Estados_Unidos,5
21,120,330,510,248,263,129,140,120,103,54,46,39,0,CIRRUS,0,CHL,Europa,5
"1,07",194,322,510,259,188,79,87,77,64,38,53,40,0,CIRRUS,0,CHL,PMQs,1
"1,07",194,322,510,259,188,79,87,77,64,38,53,40,0,CIRRUS,0,CHL,PMQs,1
"1,07",194,322,510,259,188,79,87,77,64,38,53,40,0,CIRRUS,0,CHL,PMQs,1
"1,07",194,322,510,259,188,79,87,77,64,38,53,40,0,CIRRUS,0,CHL,PMQs,1
"1,1",1,18,44,54,80,88,99,99,83,48,55,40,0,SHADOW,0,CHL,Europa,1
"1,12",187,191,284,122,109,97,96,81,96,36,51,40,0,SHADOW,0,CHL,Campo_Geo,1
"1,12",187,191,284,122,109,97,96,81,96,36,51,40,0,SHADOW,0,CHL,Campo_Limnologia,1
"1,17",184,197,268,119,101,77,78,65,67,62,56,40,0,SHADOW,0,CHL,Campo_Geo,1
"1,17",184,197,268,119,101,77,78,65,67,62,56,40,0,SHADOW,0,CHL,Campo_Limnologia,1
"1,35",187,195,258,121,108,93,99,80,83,82,54,40,0,SHADOW,0,CHL,Campo_Geo,1
"1,35",187,195,258,121,108,93,99,80,83,82,54,40,0,SHADOW,0,CHL,Campo_Limnologia,1
"1,7",264,346,458,182,145,84,98,72,74,150,66,40,0,CIRRUS,0,CHL,Campo_Limnologia,2
"1,73",350,287,236,127,132,122,125,101,109,127,50,40,0,SHADOW,0,CHL,Estados_Unidos,2
"2,4",4,1,2,54,65,1,1,1,1,1,44,40,0,SHADOW,0,CHL,Europa,2
"3,17",318,272,278,163,175,203,195,194,171,156,56,40,0,SHADOW,0,CHL,Estados_Unidos,3
"3,27",318,272,278,163,175,203,195,194,171,156,56,40,0,SHADOW,0,CHL,Estados_Unidos,3
"3,7",232,318,352,178,161,153,176,141,136,130,54,40,0,SHADOW,0,CHL,Europa,3
"4,9",66,230,325,132,118,120,135,112,106,105,52,40,0,SHADOW,0,CHL,Europa,3
"8,9",428,365,325,242,247,264,256,245,224,227,52,40,0,SHADOW,0,CHL,Europa,4
11,152,140,153,111,137,159,147,135,132,101,43,40,0,SHADOW,0,CHL,Europa,5
"13,3",127,189,280,171,188,121,139,129,103,64,50,40,0,SHADOW,0,CHL,Estados_Unidos,5
"14,2",127,189,280,171,188,121,139,129,103,64,50,40,0,SHADOW,0,CHL,Estados_Unidos,5
"15,24",169,298,446,227,272,150,154,131,115,59,50,40,0,CIRRUS,0,CHL,Cetesb,5
"16,6",115,168,141,116,115,58,65,57,43,19,47,40,0,SHADOW,0,CHL,Europa,5
"33,04",229,307,379,223,295,189,186,164,149,113,76,40,0,SHADOW,0,CHL,Cetesb,6
"40,3",18,148,267,180,282,174,197,170,146,112,60,40,0,SHADOW,0,CHL,Europa,6
"129,4",135,248,490,296,492,172,166,157,103,5,70,40,0,CIRRUS,0,CHL,Europa,6
"0,022",188,131,90,36,37,35,27,39,33,9,48,41,0,SHADOW,0,CHL,Estados_Unidos,1
"0,2032",188,131,90,36,37,35,27,39,33,9,48,41,0,SHADOW,0,CHL,Estados_Unidos,1
"0,2256",188,131,90,36,37,35,27,39,33,9,48,41,0,SHADOW,0,CHL,Estados_Unidos,1
"0,81",212,291,337,117,99,75,82,71,64,69,44,41,0,SHADOW,0,CHL,Campo_Geo,1
"0,9",455,480,418,152,135,123,130,106,104,92,54,41,0,CIRRUS,0,CHL,Estados_Unidos,1
"0,912",188,131,90,36,37,35,27,39,33,9,48,41,0,SHADOW,0,CHL,Estados_Unidos,1
"0,916",188,131,90,36,37,35,27,39,33,9,48,41,0,SHADOW,0,CHL,Estados_Unidos,1
"0,936",188,131,90,36,37,35,27,39,33,9,48,41,0,SHADOW,0,CHL,Estados_Unidos,1
"1,07",235,376,545,231,180,98,100,84,74,34,47,41,0,CIRRUS,0,CHL,PMQs,1
"1,23",206,273,302,124,111,87,91,78,78,82,49,41,0,SHADOW,0,CHL,Campo_Geo,1
"1,4676",309,405,549,224,178,111,113,100,86,61,50,41,0,CIRRUS,0,CHL,Campo_Limnologia,1
"1,9",10,1,1,20,31,1,1,4,3,1,45,41,0,SHADOW,0,CHL,Europa,2
"2,14",235,376,545,231,180,98,100,84,74,34,47,41,0,CIRRUS,0,CHL,PMQs,2
"2,7",58,128,121,52,36,10,8,1,,156,53,41,0,NADA,0,CHL,Estados_Unidos,2
"4,02",1,55,66,38,14,7,11,26,10,2,56,41,0,SHADOW,0,CHL,Estados_Unidos,3
"4,31",84,108,140,84,62,30,30,35,37,32,53,41,0,SHADOW,0,CHL,Estados_Unidos,3
"4,6",361,404,461,201,201,218,252,205,198,141,67,41,0,SHADOW,0,CHL,Estados_Unidos,3
7,1,1,35,34,40,38,52,43,47,1,46,41,0,SHADOW,0,CHL,Europa,4
"13,9",404,633,871,671,673,234,225,211,116,14,34,41,0,,0,CHL,Estados_Unidos,5
"13,9",139,225,352,202,208,79,123,104,87,99,75,41,0,SHADOW,0,CHL,Estados_Unidos,5
"18,34",79,75,73,58,55,41,69,49,51,40,56,41,0,SHADOW,0,CHL,Estados_Unidos,5
"21,9",33,89,190,123,107,27,29,33,17,2,34,41,0,SHADOW,0,CHL,Estados_Unidos,5
"29,85",254,338,446,246,430,364,377,337,308,299,95,41,0,SHADOW,0,CHL,Cetesb,5
"31,1",1,139,269,261,327,140,140,93,60,81,47,41,0,SHADOW,0,CHL,Europa,5
"0,87",444,469,409,145,135,119,121,108,110,97,55,42,0,CIRRUS,0,CHL,Estados_Unidos,1
1,1,21,48,63,72,40,41,46,33,11,49,42,0,SHADOW,0,CHL,Europa,1
"1,07",260,401,606,263,203,97,104,86,68,44,50,42,0,CIRRUS,0,CHL,PMQs,1
"1,07",238,309,538,214,132,31,34,27,29,3,44,42,0,CIRRUS,0,CHL,PMQs,1
"1,07",238,309,538,214,132,31,34,27,29,3,44,42,0,CIRRUS,0,CHL,PMQs,1
"1,07",238,309,538,214,132,31,34,27,29,3,44,42,0,CIRRUS,0,CHL,PMQs,1
"1,11",412,608,835,559,440,125,119,95,65,50,57,42,0,CIRRUS,0,CHL,Estados_Unidos,1
"1,5",226,356,431,133,105,77,89,70,64,43,56,42,0,CIRRUS,0,CHL,Estados_Unidos,1
"2,14",230,312,344,156,134,109,116,98,92,92,58,42,0,SHADOW,0,CHL,PMQs,2
"2,14",230,312,344,156,134,109,116,98,92,92,58,42,0,SHADOW,0,CHL,PMQs,2
"2,6",48,141,135,109,107,113,137,114,111,180,63,42,0,SHADOW,0,CHL,Europa,2
"2,78",226,356,431,133,105,77,89,70,64,43,56,42,0,CIRRUS,0,CHL,Estados_Unidos,2
"2,79",226,356,431,133,105,77,89,70,64,43,56,42,0,CIRRUS,0,CHL,Estados_Unidos,2
3,57,92,91,69,50,1,1,1,1,,65,42,0,NADA,0,CHL,Estados_Unidos,2
"3,2",230,312,344,156,134,109,116,98,92,92,58,42,0,SHADOW,0,CHL,PMQs,3
"3,2",230,312,344,156,134,109,116,98,92,92,58,42,0,SHADOW,0,CHL,PMQs,3
"4,06",226,356,431,133,105,77,89,70,64,43,56,42,0,CIRRUS,0,CHL,Estados_Unidos,3
"5,76",175,205,201,115,112,115,126,122,109,69,47,42,0,SHADOW,0,CHL,Estados_Unidos,4
"16,7",1,5,116,1,1,1,1,1,1,,31,42,0,NADA,0,CHL,Estados_Unidos,5
"16,7",1,5,116,1,1,1,1,1,1,,31,42,0,NADA,0,CHL,Estados_Unidos,5
20,63,142,168,116,115,42,46,32,20,3,35,42,0,SHADOW,0,CHL,Estados_Unidos,5
"23,1",331,303,388,236,294,167,171,145,140,143,54,42,0,SHADOW,0,CHL,Estados_Unidos,5
"44,2",425,562,711,785,959,804,877,780,704,195,37,42,0,SHADOW,0,CHL,Estados_Unidos,6
"48,2",425,562,711,785,959,804,877,780,704,195,37,42,0,SHADOW,0,CHL,Estados_Unidos,6
88,206,181,170,119,156,62,60,42,42,1,59,42,0,SHADOW,0,CHL,Europa,6
45000,186,204,245,176,190,181,198,173,158,84,66,42,0,SHADOW,0,CHL,Europa,6
"0,51",249,167,137,80,67,60,49,50,46,51,39,43,0,SHADOW,0,CHL,Europa,1
"0,89",448,484,430,148,129,101,103,88,82,78,58,43,0,CIRRUS,0,CHL,Estados_Unidos,1
"1,07",261,335,581,231,145,42,46,36,34,6,45,43,0,CIRRUS,0,CHL,PMQs,1
"1,07",261,335,581,231,145,42,46,36,34,6,45,43,0,CIRRUS,0,CHL,PMQs,1
"1,14",168,278,366,127,97,73,78,71,59,53,43,43,0,CIRRUS,0,CHL,Campo_Geo,1
"1,29",206,301,386,146,118,86,96,83,77,70,46,43,0,CIRRUS,0,CHL,Campo_Geo,1
"1,4",279,319,280,101,84,71,76,70,56,45,47,43,0,SHADOW,0,CHL,Estados_Unidos,1
"1,51",211,314,468,242,202,109,118,103,93,443,80,43,0,CLEAR,0,CHL,Campo_Limnologia,2
2,133,63,119,82,151,60,63,72,62,1028,81,43,0,SHADOW,0,CHL,Estados_Unidos,2
2,133,63,119,82,151,60,63,72,62,1028,81,43,0,SHADOW,0,CHL,Estados_Unidos,2
2,133,63,119,82,151,60,63,72,62,1028,81,43,0,SHADOW,0,CHL,Estados_Unidos,2
"3,16",211,314,468,242,202,109,118,103,93,443,80,43,0,CLEAR,0,CHL,Campo_Geo,3
"3,76",89,121,100,73,73,102,130,120,123,169,59,43,0,SHADOW,0,CHL,Estados_Unidos,3
"4,38",89,121,100,73,73,102,130,120,123,169,59,43,0,SHADOW,0,CHL,Estados_Unidos,3
"4,7",280,256,387,188,197,118,120,100,94,58,43,43,0,SHADOW,0,CHL,Estados_Unidos,3
"5,2",280,256,387,188,197,118,120,100,94,58,43,43,0,SHADOW,0,CHL,Estados_Unidos,4
"5,9",280,256,387,188,197,118,120,100,94,58,43,43,0,SHADOW,0,CHL,Estados_Unidos,4
"6,3",199,208,200,156,176,153,166,144,121,116,73,43,0,SHADOW,0,CHL,Estados_Unidos,4
"6,4",280,256,387,188,197,118,120,100,94,58,43,43,0,SHADOW,0,CHL,Estados_Unidos,4
"6,8",280,256,387,188,197,118,120,100,94,58,43,43,0,SHADOW,0,CHL,Estados_Unidos,4
"8,3",51,75,59,53,54,48,55,54,40,2,52,43,0,SHADOW,0,CHL,Europa,4
