BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,VALUE,CLASSE
0.0091,0.0106,0.0077,0.008,0.006500000000000001,0.0054,0.0079,0.006900000000000001,0.0061,0.0026000000000000003,0.0078000000000000005,0.0056,102.0,1
0.0055000000000000005,0.0068000000000000005,0.0043,0.0058000000000000005,0.0051,0.0043,0.0061,0.0043,0.006,0.0059,0.005,0.004,70.5,1
0.0115,0.0161,0.0182,0.0114,0.0085,0.007,0.0053,0.006,0.0022,0.0012000000000000001,0.0009000000000000001,0.0024000000000000002,2.0,0
0.0029000000000000002,0.0092,0.018000000000000002,0.0102,0.0126,0.0032,0.0048000000000000004,0.0053,0.0056,0.0089,0.008400000000000001,0.0035,5.95,0
0.0068000000000000005,0.014400000000000001,0.0246,0.0195,0.0175,0.005200000000000001,0.0044,0.0051,0.0035,0.0002,0.0035,0.0025,3.0,0
0.003,0.0058000000000000005,0.0241,0.0083,0.0165,0.0029000000000000002,0.0035,0.0048000000000000004,0.0044,0.024300000000000002,0.0061,0.0056,7.55,0
0.0061,0.011000000000000001,0.0224,0.0159,0.026000000000000002,0.009000000000000001,0.0109,0.0086,0.0071,0.0009000000000000001,0.0038,0.0027,26.0,1
0.0077,0.017400000000000002,0.023100000000000002,0.0176,0.020800000000000003,0.0063,0.0081,0.007,0.0032,0.001,0.0027,0.0018000000000000002,12.0,0
0.004,0.004200000000000001,0.0034000000000000002,0.0024000000000000002,0.0038,0.0015,0.0024000000000000002,0.0028,0.002,0.0068000000000000005,0.0091,0.0066,0.92,0
0.0027,0.0041,0.017,0.0071,0.0142,0.0004,0.0059,0.0047,0.003,0.0346,0.0047,0.0048000000000000004,5.88,0
0.0091,0.0143,0.0244,0.016300000000000002,0.0206,0.0097,0.009600000000000001,0.0105,0.0085,0.0594,0.0094,0.007,8.63,0
0.005,0.007200000000000001,0.0094,0.0047,0.0034000000000000002,0.0026000000000000003,0.0048000000000000004,0.0035,0.0037,0.003,0.0054,0.004,1.2,0
0.008700000000000001,0.0109,0.0187,0.0079,0.0081,0.006,0.0078000000000000005,0.0073,0.0073,0.0028,0.006900000000000001,0.0055000000000000005,2.0,0
0.0038,0.007,0.0134,0.0046,0.0035,0.0009000000000000001,0.002,0.0022,0.0037,0.0013000000000000002,0.0035,0.0015,1.2,0
0.006,0.0086,0.0161,0.0043,0.0068000000000000005,0.006,0.0055000000000000005,0.005200000000000001,0.0081,0.033800000000000004,0.0064,0.0051,1.3,0
0.0114,0.013600000000000001,0.0088,0.0055000000000000005,0.0066,0.0076,0.0091,0.006200000000000001,0.0054,0.0001,0.0029000000000000002,0.0033,3.675441,0
0.0207,0.0227,0.026000000000000002,0.0128,0.012100000000000001,0.0061,0.0083,0.005200000000000001,0.0057,0.1781,0.0081,0.0067,1.6,0
0.0234,0.022500000000000003,0.0199,0.0154,0.016800000000000002,0.0111,0.014700000000000001,0.0111,0.012700000000000001,0.0066,0.0146,0.0095,3.6,0
0.0201,0.0234,0.0213,0.011300000000000001,0.0111,0.0077,0.0105,0.007,0.009000000000000001,0.0051,0.0085,0.0063,1.1,0
0.0159,0.0201,0.0183,0.0098,0.008,0.004,0.0054,0.0025,0.0033,0.0001,0.0067,0.0045000000000000005,1.0,0
0.0167,0.024300000000000002,0.0268,0.012,0.0112,0.0055000000000000005,0.0073,0.0033,0.0048000000000000004,0.1781,0.006900000000000001,0.006500000000000001,1.7,0
0.0201,0.0194,0.018600000000000002,0.0112,0.0126,0.0078000000000000005,0.012100000000000001,0.0074,0.009000000000000001,0.0002,0.0103,0.0073,2.2,0
0.0207,0.0229,0.0245,0.0132,0.0134,0.0058000000000000005,0.0058000000000000005,0.0023,0.0032,0.0001,0.006,0.006500000000000001,1.8,0
0.011600000000000001,0.0179,0.0201,0.0105,0.0131,0.0077,0.0118,0.0095,0.0094,0.0081,0.011600000000000001,0.0056,3.7,0
0.015300000000000001,0.0181,0.0181,0.013300000000000001,0.019,0.016900000000000002,0.020900000000000002,0.0109,0.0109,0.0025,0.0029000000000000002,0.0034000000000000002,5.798388,0
0.0234,0.025,0.0247,0.0132,0.013600000000000001,0.007500000000000001,0.0092,0.0045000000000000005,0.0047,0.1781,0.006500000000000001,0.0055000000000000005,1.5,0
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,94.3435,1
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,46.1153,1
0.019700000000000002,0.028300000000000002,0.0438,0.028200000000000003,0.0352,0.013800000000000002,0.0137,0.0123,0.0088,0.0007,0.0012000000000000001,0.0002,19.4,0
0.013900000000000001,0.0222,0.0333,0.0188,0.0199,0.008400000000000001,0.0091,0.010400000000000001,0.0094,0.0099,0.008400000000000001,0.0048000000000000004,53.4742,1
0.013900000000000001,0.0222,0.0333,0.0188,0.0199,0.008400000000000001,0.0091,0.010400000000000001,0.0094,0.0099,0.008400000000000001,0.0048000000000000004,51.2311,1
0.013900000000000001,0.0222,0.0333,0.0188,0.0199,0.008400000000000001,0.0091,0.010400000000000001,0.0094,0.0099,0.008400000000000001,0.0048000000000000004,10.6,0
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,90.027,1
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,72.5572,1
0.017,0.026500000000000003,0.0415,0.027200000000000002,0.0251,0.0158,0.0173,0.0137,0.0167,0.07740000000000001,0.0151,0.0125,9.73,0
0.01,0.021,0.0323,0.018600000000000002,0.0205,0.007,0.008700000000000001,0.0086,0.0058000000000000005,0.0014,0.003,0.0033,10.3,0
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,53.7934,1
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,63.4266,1
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,90.2468,1
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,73.9062,1
0.016,0.016,0.0221,0.015700000000000002,0.015600000000000001,0.0105,0.011300000000000001,0.014100000000000001,0.013600000000000001,0.06280000000000001,0.015700000000000002,0.0115,4.83,0
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,54.7145,1
0.013900000000000001,0.0222,0.0333,0.0188,0.0199,0.008400000000000001,0.0091,0.010400000000000001,0.0094,0.0099,0.008400000000000001,0.0048000000000000004,133.5884,1
0.014700000000000001,0.0238,0.037200000000000004,0.022500000000000003,0.026000000000000002,0.009600000000000001,0.010400000000000001,0.008,0.0059,0.003,0.0039000000000000003,0.0025,12.8,0
