Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
4702,01/08/2019,31/07/2019,11:35,13:12:51,GUAR00100,Chlorophyll,116.85,ug/l,0,m,ReservatÃƒÂ³rio do Guarapiranga,Reservoir,-237.542,-467.269,Brazil,Cetesb,South,Winter,Brazil,1,94,94,159,96,149,58,64,44,40,33,40,36,0,0,0,0.1458,12.505,0.566502463,-0.810846063,Water_Surface,No_Snow,Water,POINT (-46.72694444444445 -23.754166666666663)
4672,29/08/2019,28/08/2019,11:51,13:22:39,ATSG02800,Chlorophyll,123.63,ug/l,0,m,ReservatÃƒÂ³rio de Salto Grande (UGRHI 05),Reservoir,-227.161,-472.672,Brazil,Cetesb,South,Winter,Brazil,1,141,320,768,289,1071,1451,1466,1337,1162,574,122,71,0,0,0,183.311,22.708,-0.270308789,-0.435130583,Drought,No_Snow,Vegetation,POINT (-47.26722222222222 -22.71611111111111)
4906,11/05/2019,12/05/2019,12:34,13:12:51,GUAR00100,Chlorophyll,128.3,ug/l,0,m,ReservatÃƒÂ³rio do Guarapiranga,Reservoir,-237.542,-467.269,Brazil,Cetesb,South,Autumn,Brazil,1,4453,4434,4001,3417,3774,3902,3899,4192,3941,14562,3134,2867,100,0,2048,534.235,12.177,-0.023312584,-17.202.338.015.496.100,Drought,No_Snow,Clouds High,POINT (-46.72694444444445 -23.754166666666663)
4434,26/11/2019,24/11/2019,14:30,13:32:31,TIPR02400,Chlorophyll,140.78,ug/l,0,m,ReservatÃƒÂ³rio de PromissÃƒ,Reservoir,-216.403,-492.853,Brazil,Cetesb,South,Spring,Brazil,2,6449,6684,6180,5707,5767,5324,5185,5625,5212,9151,5042,4278,100,0,1024,976.385,0,0.047013977,-16.475.544.077.669.900,Humidity,No_Snow,Clouds High,POINT (-49.28527777777778 -21.640277777777776)
4889,14/05/2019,12/05/2019,13:48,13:12:51,GUAR00100,Chlorophyll,155.7,ug/l,0,m,ReservatÃƒÂ³rio do Guarapiranga,Reservoir,-237.542,-467.269,Brazil,Cetesb,South,Autumn,Brazil,2,4453,4434,4001,3417,3774,3902,3899,4192,3941,14562,3134,2867,100,0,2048,534.235,12.177,-0.023312584,-17.202.338.015.496.100,Drought,No_Snow,Clouds High,POINT (-46.72694444444445 -23.754166666666663)
4938,12/04/2019,12/04/2019,15:33,13:12:51,BILL02030,Chlorophyll,168.93,ug/l,0,m,ReservatÃƒÂ³rio Billings,Reservoir,-237.178,-466.642,Brazil,Cetesb,South,Autumn,Brazil,0,672,598,696,554,668,633,656,615,621,1517,416,371,0,0,2048,347.427,0.364,0.061784897,-1.366.701.379.310.340,Humidity,No_Snow,Cirrus,POINT (-46.66416666666667 -23.717777777777776)
5078,16/01/2019,15/01/2019,09:55,13:22:31,TIBB02100,Chlorophyll,174.96,ug/l,0,m,ReservatÃƒÂ³rio de Barra Bonita,Reservoir,-226.128,-483.478,Brazil,Cetesb,South,Summer,Brazil,1,1973,1972,2251,1912,2536,2856,2779,2642,2175,7264,2617,1908,13,0,2048,634.906,0.1286,-0.079910076,-17.403.983.651.710.300,Drought,No_Snow,Cirrus,POINT (-48.34777777777778 -22.61277777777778)
3897,28/10/2020,28/10/2020,10:20,13:12:49,BILL02100,Chlorophyll,232.55,ug/l,0,m,ReservatÃƒÂ³rio Billings,Reservoir,-237.492,-466.478,Brazil,Cetesb,South,Spring,Brazil,0,334,481,761,413,989,767,768,664,467,259,172,162,0,0,0,0.1929,0.3576,0.068070175,-0.795972867,Humidity,No_Snow,Water,POINT (-46.647777777777776 -23.749166666666667)
5047,22/01/2019,22/01/2019,12:18,13:12:41,BILL02100,Chlorophyll,311.4,ug/l,0,m,ReservatÃƒÂ³rio Billings,Reservoir,-237.492,-466.478,Brazil,Cetesb,South,Summer,Brazil,0,403,438,792,356,1070,706,725,551,405,123,40,30,0,0,0,47.912,0.4083,0.179448995,-0.533745091,Humidity,No_Snow,Water,POINT (-46.647777777777776 -23.749166666666667)
4013,01/07/2020,01/07/2020,13:55,13:32:31,TIPR02400,Chlorophyll,393.82,ug/l,0,m,ReservatÃƒÂ³rio de PromissÃƒ,Reservoir,-216.403,-492.853,Brazil,Cetesb,South,Winter,Brazil,0,3786,3919,3409,3066,3351,3343,3337,3605,3325,8073,2567,2509,100,0,1024,991.707,0.0637,-0.027944112,-177.941.694.925.198,Drought,No_Snow,Clouds High,POINT (-49.28527777777778 -21.640277777777776)
5060,22/01/2019,22/01/2019,13:16,13:12:41,BILL02030,Chlorophyll,574.7,ug/l,0,m,ReservatÃƒÂ³rio Billings,Reservoir,-237.178,-466.642,Brazil,Cetesb,South,Summer,Brazil,0,395,443,837,349,1593,3679,3782,3184,2971,2750,208,62,0,0,0,47.912,0.4083,-0.58368565,-0.466825281,Drought,No_Snow,Vegetation,POINT (-46.66416666666667 -23.717777777777776)
5086,15/01/2019,13/01/2019,10:00,13:32:29,TIPR02990,Chlorophyll,630.83,ug/l,0,m,ReservatÃƒÂ³rio de PromissÃƒ,Reservoir,-212.972,-497.825,Brazil,Cetesb,South,Summer,Brazil,2,546,546,931,552,867,637,671,482,581,716,471,374,0,0,0,343.324,0.1253,0.317763623,-0.964544748,Water_Surface,No_Snow,Water,POINT (-49.7825 -21.297222222222224)
4996,01/03/2019,27/02/2019,13:45,13:32:21,TIPR02400,Chlorophyll,844.67,ug/l,0,m,ReservatÃƒÂ³rio de PromissÃƒ,Reservoir,-216.403,-492.853,Brazil,Cetesb,South,Summer,Brazil,2,4125,3763,3560,3108,3327,3365,3379,3430,3401,9567,2811,2602,100,0,1024,887.975,0.0101,0.018597997,-1.705.493.348.314.600,Humidity,No_Snow,Clouds High,POINT (-49.28527777777778 -21.640277777777776)
3890,08/11/2020,08/11/2020,13:50,13:32:31,TIPR02990,Chlorophyll,8339.76,ug/l,0,m,ReservatÃƒÂ³rio de PromissÃƒ,Reservoir,-212.972,-497.825,Brazil,Cetesb,South,Spring,Brazil,0,948,1012,1198,1125,1207,1073,1126,1010,1086,963,1005,906,9,0,0,10.842,0.1575,0.085144928,-1.581.513.669.449.080,Humidity,No_Snow,Water,POINT (-49.7825 -21.297222222222224)
