Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
825,24/11/2020,22/11/2020,04:11:00,13:12:51,CM030S,Chlorophyll,1.07,ug/l,0,m,Camargos,Reservoir,-21.299,-445.544,Brazil,CEMIG,South,Spring,CEMIG,2,9429,8980,8350,7924,8403,7940,7731,7822,7547,15683,5988,5256,100,0,1024,770.917,0.365,0.032649023,-14.362.541.796.407.100,Humidity,No_Snow,Clouds High,POINT (-44.55436111111111 -21.298972222222226)
828,23/11/2020,22/11/2020,07:11:00,13:12:51,PF003S,Chlorophyll,1.07,ug/l,0.2,m,PoÃƒÂ§o,Reservoir,-217.919,-461.246,Brazil,CEMIG,South,Spring,CEMIG,1,9624,9512,8966,8660,9432,9008,8763,8450,8586,15681,6165,5091,100,0,1024,440.837,10.967,0.029627928,-1.306.472.454.160.160,Humidity,No_Snow,Clouds High,POINT (-46.12458333333333 -21.79188888888889)
854,18/11/2020,19/11/2020,11:11:00,13:02:51,RO30S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-208.367,-417.369,Brazil,CEMIG,South,Spring,CEMIG,1,6637,6225,5946,5591,6021,6063,6085,5956,6166,13859,4517,3986,100,0,1024,968.769,0.0003,-0.000840195,-1.539.240.933.736.960,Drought,No_Snow,Clouds High,POINT (-41.73688888888889 -20.836694444444444)
859,18/11/2020,19/11/2020,11:11:00,13:02:51,RO20S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-208.355,-417.368,Brazil,CEMIG,South,Spring,CEMIG,1,6591,5842,5542,5455,5938,6072,6132,5612,6116,14143,4551,4087,100,0,1024,968.769,0.0003,-0.006275776,-16.487.674.832.190.500,Drought,No_Snow,Clouds High,POINT (-41.73675 -20.835472222222226)
866,17/11/2020,16/11/2020,10:11:00,12:53:11,RO110S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-209.559,-417.174,Brazil,CEMIG,South,Spring,CEMIG,1,,,,,,,,,,,,,0,0,0,65.852,0.5961,,,Humidity,Snow,Uncknow,POINT (-41.717416666666665 -20.955944444444444)
877,13/11/2020,14/11/2020,02:11:00,13:02:49,VIR40S,Chlorophyll,1.07,ug/l,0.2,m,IrapÃ,Reservoir,-168.119,-426.833,Brazil,CEMIG,South,Spring,CEMIG,1,422,515,546,478,469,391,412,398,390,772,335,274,0,0,0,49.918,0.1494,0.156779661,-14.273.629.450.549.400,Humidity,No_Snow,Water,POINT (-42.68330555555556 -16.811944444444446)
662,27/01/2021,27/01/2021,03:01:00,13:32:31,SS100S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-186.261,-500.508,Brazil,CEMIG,South,Summer,CEMIG,0,848,1336,1245,929,927,800,801,1200,817,2821,594,542,0,0,2048,667.377,0.0596,0.018404908,-14.463.697.349.397.500,Humidity,No_Snow,Cirrus,POINT (-50.05083333333333 -18.62611111111111)
3705,08/05/2019,09/05/2019,01:05:00,13:02:51,VIR115S,Chlorophyll,1.07,ug/l,0.2,m,IrapÃ,Reservoir,-166.805,-42.489,Brazil,CEMIG,South,Autumn,CEMIG,1,10878,9712,9148,8700,9254,8735,8494,8112,8411,13096,6164,4590,100,0,1024,922.533,0.1845,0.060023175,-12.452.418.364.669.800,Humidity,No_Snow,Clouds High,POINT (-42.48897222222222 -16.68052777777778)
3706,08/05/2019,09/05/2019,10:05:00,13:02:51,VIR95S,Chlorophyll,1.07,ug/l,0.2,m,IrapÃ,Reservoir,-166.823,-421.124,Brazil,CEMIG,South,Autumn,CEMIG,1,6559,6018,5803,5530,5943,5716,5614,5495,5644,8248,4961,3896,100,0,1024,922.533,0.1845,0.027261462,-15.987.186.758.573.100,Humidity,No_Snow,Clouds High,POINT (-42.11244444444445 -16.682277777777777)
3384,10/07/2019,08/07/2019,10:07:00,13:02:51,PI030S,Chlorophyll,1.07,ug/l,0.2,m,PiauÃ,Reservoir,-215.053,-433.708,Brazil,CEMIG,South,Winter,CEMIG,2,155,223,455,440,777,1512,1710,1522,1848,2755,1400,814,0,0,0,25.518,0.7076,-0.539706626,-2.332.108.879.120.870,Drought,No_Snow,Vegetation,POINT (-43.37075 -21.505305555555555)
