Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
1127,20/01/2021,21/01/2021,12:58:00 PM,13:12:41,TM-03,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.222,-449.970,Brazil,PMQS,South,Summer,Tres_Marias,1,772,956,1665,1819,1635,714,713,581,481,291,304,271,0,0,0,33.669,0.4846,0.482635797,-0.620996937,Water_Surface,No_Snow,Water,POINT (-44.996991301014 -18.8222319488451)
3256,18/08/2020,19/08/2020,9:22:00 AM,13:12:49,TM-11,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.215,-450.899,Brazil,PMQS,South,Winter,Tres_Marias,1,150,259,451,256,313,252,308,210,297,957,413,218,0,0,0,0.0133,0.4993,0.364599092,-1.065.937.667.405.760,Water_Surface,No_Snow,Dark Area,POINT (-45.0899378301201 -18.821460145174)
5219,16/08/2019,15/08/2019,8:39:00 AM,13:12:49,TM-04,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-189.598,-451.114,Brazil,PMQS,South,Winter,Tres_Marias,1,286,374,512,267,209,89,99,80,60,45,77,84,0,0,0,357.953,40.286,0.72972973,-0.87130725,Water_Surface,No_Snow,Water,POINT (-45.1114127841537 -18.9598350202507)
1099,05/07/2019,06/07/2019,9:52:00 AM,13:12:49,PT-22,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Winter,Tres_Marias,1,186,298,449,242,269,163,182,169,164,297,147,124,0,0,0,88.602,31.657,0.453074434,-0.92360637,Water_Surface,No_Snow,Cirrus,POINT (-44.9334354668998 -18.8539700203216)
1291,07/01/2021,06/01/2021,9:27:00 AM,13:12:39,PT-23,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-184.983,-452.838,Brazil,PMQS,South,Summer,Tres_Marias,1,394,460,613,352,404,419,435,419,417,1421,326,270,0,0,2048,547.173,0.7494,0.187984496,-1.173.640.600.326.260,Humidity,No_Snow,Cirrus,POINT (-45.2838151891992 -18.4982955791819)
1013,06/07/2019,06/07/2019,8:27:00 AM,13:12:49,TM-02,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.338,-449.706,Brazil,PMQS,South,Winter,Tres_Marias,0,197,324,442,233,237,161,182,155,148,254,127,104,0,0,0,88.602,31.657,0.480737018,-0.951145792,Water_Surface,No_Snow,Cirrus,POINT (-44.9706133404865 -18.833834259933)
1007,06/07/2019,06/07/2019,9:12:00 AM,13:12:49,PT-22,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.540,-449.334,Brazil,PMQS,South,Winter,Tres_Marias,0,186,298,449,242,269,163,182,169,164,297,147,124,0,0,0,88.602,31.657,0.453074434,-0.92360637,Water_Surface,No_Snow,Cirrus,POINT (-44.9334354668998 -18.8539700203216)
1160,16/01/2021,16/01/2021,9:34:00 AM,13:12:39,TM-11,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-188.215,-450.899,Brazil,PMQS,South,Summer,Tres_Marias,0,3498,3235,3162,3067,3432,3667,3776,3618,3821,10444,2939,2543,100,0,1024,98.882,0.0034,-0.067256637,-17.667.324.781.783.600,Drought,No_Snow,Clouds High,POINT (-45.0899378301201 -18.821460145174)
2912,04/09/2021,03/09/2021,8:23:00 AM,13:10:39,TM-09,Chlorophyll,3.2,ug/l,0.3,m,Reservatorio de TrÃƒÂªs,Reservoir,-182.503,-452.668,Brazil,PMQS,South,Winter,Tres_Marias,1,208,267,287,104,87,61,65,54,53,36,32,14,0,0,0,0.0098,0.3538,0.683284457,-0.966274077,Water_Surface,No_Snow,Water,POINT (-45.2667800645957 -18.250339023966)
3862,16/06/2020,15/06/2020,9:29:00 AM,13:12:51,TM-04,Chlorophyll,3.2,ug/l,0,m,Reservatorio de TrÃƒÂªs,Reservoir,-189.598,-451.114,Brazil,PMQS,South,Autumn,Tres_Marias,1,259,299,412,187,149,82,91,83,63,94,52,52,0,0,0,164.444,3.931,0.664646465,-0.832589748,Water_Surface,No_Snow,Water,POINT (-45.1114127841537 -18.9598350202507)
